ORIGID,CountyName,PopulationCensus16,IGEasting,IGNorthing,Lat,Long,UniqueGeographicIdentifier,ConfirmedCovidCases,PopulationProportionCovidCases,x,y,FID,TimeStampDate
,Clare,118817,133493,182732,52.8917,-8.9889,,,,-8.9889,52.8917,6113,2020-03-02
,Cork,542868,156242,77860,51.9517,-8.6372,,,,-8.6372,51.9517,6114,2020-03-02
,Donegal,159192,202615,405691,54.8989,-7.96,,,,-7.96,54.8989,6115,2020-03-02
,Dublin,1347359,313762,235813,53.3605,-6.292,,,,-6.292,53.3605,6116,2020-03-02
,Galway,258058,151045,235818,53.3705,-8.7362,,,,-8.7362,53.3705,6117,2020-03-02
,Kerry,147707,92975,102996,52.1689,-9.565,,,,-9.565,52.1689,6118,2020-03-02
,Kildare,222504,281262,221513,53.238,-6.7837,,,,-6.7837,53.238,6119,2020-03-02
,Kilkenny,99232,253094,148060,52.5816,-7.2175,,,,-7.2175,52.5816,6120,2020-03-02
,Laois,84697,244211,193996,52.9952,-7.3423,,,,-7.3423,52.9952,6121,2020-03-02
,Leitrim,32044,200446,319670,54.1261,-7.9939,,,,-7.9939,54.1261,6122,2020-03-02
,Limerick,194899,149743,141780,52.5255,-8.7412,,,,-8.7412,52.5255,6123,2020-03-02
,Longford,40873,220162,275901,53.7325,-7.6952,,,,-7.6952,53.7325,6124,2020-03-02
,Louth,128884,299463,297349,53.9161,-6.487,,,,-6.487,53.9161,6125,2020-03-02
,Mayo,130507,117679,297355,53.9191,-9.2537,,,,-9.2537,53.9191,6126,2020-03-02
,Meath,195044,284946,271349,53.6851,-6.715,,,,-6.715,53.6851,6127,2020-03-02
,Monaghan,61386,268914,326818,54.1857,-6.9452,,,,-6.9452,54.1857,6128,2020-03-02
,Offaly,77961,222690,223679,53.2632,-7.6607,,,,-7.6607,53.2632,6129,2020-03-02
,Roscommon,64544,182029,283486,53.8008,-8.2735,,,,-8.2735,53.8008,6130,2020-03-02
,Sligo,65535,165130,323355,54.1581,-8.5345,,,,-8.5345,54.1581,6131,2020-03-02
,Tipperary,159553,205427,154345,52.6407,-7.9206,,,,-7.9206,52.6407,6132,2020-03-02
,Waterford,116176,234676,105809,52.2035,-7.4935,,,,-7.4935,52.2035,6133,2020-03-02
,Westmeath,88770,238362,255966,53.5524,-7.4219,,,,-7.4219,53.5524,6134,2020-03-02
,Wexford,149722,301627,141559,52.5164,-6.5037,,,,-6.5037,52.5164,6135,2020-03-02
,Wicklow,142425,311162,197894,53.0205,-6.3442,,,,-6.3442,53.0205,6136,2020-03-02
,Carlow,56932,278661,163444,52.7168,-6.8367,,,,-6.8367,52.7168,6137,2020-03-03
,Cavan,76176,246380,304501,53.9878,-7.2937,,,,-7.2937,53.9878,6138,2020-03-03
,Clare,118817,133493,182732,52.8917,-8.9889,,,,-8.9889,52.8917,6139,2020-03-03
,Cork,542868,156242,77860,51.9517,-8.6372,,,,-8.6372,51.9517,6140,2020-03-03
,Donegal,159192,202615,405691,54.8989,-7.96,,,,-7.96,54.8989,6141,2020-03-03
,Dublin,1347359,313762,235813,53.3605,-6.292,,,,-6.292,53.3605,6142,2020-03-03
,Galway,258058,151045,235818,53.3705,-8.7362,,,,-8.7362,53.3705,6143,2020-03-03
,Kerry,147707,92975,102996,52.1689,-9.565,,,,-9.565,52.1689,6144,2020-03-03
,Kildare,222504,281262,221513,53.238,-6.7837,,,,-6.7837,53.238,6145,2020-03-03
,Kilkenny,99232,253094,148060,52.5816,-7.2175,,,,-7.2175,52.5816,6146,2020-03-03
,Laois,84697,244211,193996,52.9952,-7.3423,,,,-7.3423,52.9952,6147,2020-03-03
,Leitrim,32044,200446,319670,54.1261,-7.9939,,,,-7.9939,54.1261,6148,2020-03-03
,Limerick,194899,149743,141780,52.5255,-8.7412,,,,-8.7412,52.5255,6149,2020-03-03
,Longford,40873,220162,275901,53.7325,-7.6952,,,,-7.6952,53.7325,6150,2020-03-03
,Louth,128884,299463,297349,53.9161,-6.487,,,,-6.487,53.9161,6151,2020-03-03
,Mayo,130507,117679,297355,53.9191,-9.2537,,,,-9.2537,53.9191,6152,2020-03-03
,Meath,195044,284946,271349,53.6851,-6.715,,,,-6.715,53.6851,6153,2020-03-03
,Monaghan,61386,268914,326818,54.1857,-6.9452,,,,-6.9452,54.1857,6154,2020-03-03
,Offaly,77961,222690,223679,53.2632,-7.6607,,,,-7.6607,53.2632,6155,2020-03-03
,Roscommon,64544,182029,283486,53.8008,-8.2735,,,,-8.2735,53.8008,6156,2020-03-03
,Sligo,65535,165130,323355,54.1581,-8.5345,,,,-8.5345,54.1581,6157,2020-03-03
,Tipperary,159553,205427,154345,52.6407,-7.9206,,,,-7.9206,52.6407,6158,2020-03-03
,Waterford,116176,234676,105809,52.2035,-7.4935,,,,-7.4935,52.2035,6159,2020-03-03
,Westmeath,88770,238362,255966,53.5524,-7.4219,,,,-7.4219,53.5524,6160,2020-03-03
,Wexford,149722,301627,141559,52.5164,-6.5037,,,,-6.5037,52.5164,6161,2020-03-03
,Wicklow,142425,311162,197894,53.0205,-6.3442,,,,-6.3442,53.0205,6162,2020-03-03
,Carlow,56932,278661,163444,52.7168,-6.8367,,,,-6.8367,52.7168,6163,2020-03-04
,Cavan,76176,246380,304501,53.9878,-7.2937,,,,-7.2937,53.9878,6164,2020-03-04
,Clare,118817,133493,182732,52.8917,-8.9889,,,,-8.9889,52.8917,6165,2020-03-04
,Cork,542868,156242,77860,51.9517,-8.6372,,,,-8.6372,51.9517,6166,2020-03-04
,Donegal,159192,202615,405691,54.8989,-7.96,,,,-7.96,54.8989,6167,2020-03-04
,Dublin,1347359,313762,235813,53.3605,-6.292,,,,-6.292,53.3605,6168,2020-03-04
,Galway,258058,151045,235818,53.3705,-8.7362,,,,-8.7362,53.3705,6169,2020-03-04
,Kerry,147707,92975,102996,52.1689,-9.565,,,,-9.565,52.1689,6170,2020-03-04
,Kildare,222504,281262,221513,53.238,-6.7837,,,,-6.7837,53.238,6171,2020-03-04
,Kilkenny,99232,253094,148060,52.5816,-7.2175,,,,-7.2175,52.5816,6172,2020-03-04
,Laois,84697,244211,193996,52.9952,-7.3423,,,,-7.3423,52.9952,6173,2020-03-04
,Leitrim,32044,200446,319670,54.1261,-7.9939,,,,-7.9939,54.1261,6174,2020-03-04
,Limerick,194899,149743,141780,52.5255,-8.7412,,,,-8.7412,52.5255,6175,2020-03-04
,Longford,40873,220162,275901,53.7325,-7.6952,,,,-7.6952,53.7325,6176,2020-03-04
,Louth,128884,299463,297349,53.9161,-6.487,,,,-6.487,53.9161,6177,2020-03-04
,Mayo,130507,117679,297355,53.9191,-9.2537,,,,-9.2537,53.9191,6178,2020-03-04
,Meath,195044,284946,271349,53.6851,-6.715,,,,-6.715,53.6851,6179,2020-03-04
,Monaghan,61386,268914,326818,54.1857,-6.9452,,,,-6.9452,54.1857,6180,2020-03-04
,Offaly,77961,222690,223679,53.2632,-7.6607,,,,-7.6607,53.2632,6181,2020-03-04
,Roscommon,64544,182029,283486,53.8008,-8.2735,,,,-8.2735,53.8008,6182,2020-03-04
